'AuditEVTLaws.measurable_affine' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.affineLaw_isProbabilityMeasure' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.affineLaw_zero_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.affine_preimage_Iic' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.cdf_affineLaw' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.gumbelLaw_isProbabilityMeasure' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.frechetLaw_isProbabilityMeasure' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.reverseWeibullLaw_isProbabilityMeasure' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.cdf_gumbelLaw' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.cdf_frechetLaw' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.cdf_reverseWeibullLaw' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.map_maxRV_gumbelLaw' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.map_maxRV_frechetLaw' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.map_maxRV_reverseWeibullLaw' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.maxLeEvent_eq_iInter' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.minGtEvent_eq_iInter' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.minGeEvent_eq_iInter' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.maxLtEvent_eq_iInter' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.maxRV_preimage_Iic' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.minRV_preimage_Ioi' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measure_maxLeEvent' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measure_maxLeEvent_of_forall_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measureReal_maxLeEvent_of_forall_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measureReal_maxLeEvent_frechet' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measureReal_maxLeEvent_gumbel' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measure_iInter_preimage' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measure_minGtEvent' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measure_minGeEvent' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measure_maxLtEvent' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measure_minGtEvent_of_forall_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measureReal_minGtEvent_of_forall_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measure_preimage_of_map_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measure_maxLeEvent_of_map_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measure_minGtEvent_of_map_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measurable_maxRV' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measurable_minRV' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.cdf_map_maxRV' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measureReal_map_minRV_Ioi' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measureReal_map_minRV_Ioi_eq_one_sub_cdf' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.gumbelCDF_monotone' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.continuous_gumbelCDF' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.gumbelCDF_tendsto_atBot' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.gumbelCDF_tendsto_atTop' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.gumbelMeasure_isProbabilityMeasure' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.cdf_gumbelMeasure' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.cdf_gumbelMeasure_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.cdf_map_maxRV_gumbel' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.cdf_map_maxRV_pi_gumbel' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.frechetCDF_of_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.frechetCDF_of_nonpos' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.frechetCDF_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.neg_one_div_nonpos' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.frechetCDF_monotone' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.frechetCDF_continuousWithinAt_Ici' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.continuous_frechetCDF' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.frechetCDF_tendsto_atBot' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.frechetCDF_tendsto_atTop' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.frechetMeasure_isProbabilityMeasure' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.cdf_frechetMeasure' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.cdf_frechetMeasure_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.cdf_map_maxRV_frechet' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.cdf_map_maxRV_pi_frechet' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.reverseWeibullCDF_of_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.reverseWeibullCDF_of_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.reverseWeibullCDF_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.reverseWeibullCDF_monotone' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.reverseWeibullCDF_continuousWithinAt_Ici' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.continuous_reverseWeibullCDF' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.reverseWeibullCDF_tendsto_atTop' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.reverseWeibullCDF_tendsto_atBot' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.reverseWeibullMeasure_isProbabilityMeasure' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.cdf_reverseWeibullMeasure' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.cdf_reverseWeibullMeasure_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.reverseWeibullCDF_maxstable' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.cdf_map_maxRV_reverseWeibull' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditEVTLaws.cdf_map_maxRV_pi_reverseWeibull' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditRV.regularlyVarying_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditRV.regularlyVarying_power' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditRV.IsRegularlyVarying.congr' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditRV.IsRegularlyVarying.const_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditRV.IsSlowlyVarying.mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditRV.IsSlowlyVarying.rpow' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.HasFiniteTailExponent.unique' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.HasFiniteTailExponent.liminf_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.pareto_power_tail' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.two_power_tail' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.two_power_tail_min' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditMoments.gamma_mixture_excess' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditMoments.gamma_mixture_excess_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditGaussian.coe_varianceOfScale' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditGaussian.charFun_gaussianReal_eq_stableS1Expr' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditGaussian.convolutionPower_gaussianReal_scale' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditGaussian.convolutionPower_gaussianReal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Proof09Probe.signature_probe' depends on axioms: [propext, Classical.choice, Quot.sound]
'Proof09Probe.pair_not_convex' depends on axioms: [propext, Classical.choice, Quot.sound]
'Proof09Probe.submitted_statement_counterexample' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditPareto.paretoMeasure_Iic_of_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditPareto.paretoMeasure_Iio_endpoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditPareto.paretoMeasure_singleton_endpoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditPareto.measurable_paretoPDF' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditPareto.pareto_tail_algebra' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditPareto.survival_paretoMeasure' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditPareto.survival_paretoMeasure_of_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditPareto.survival_paretoMeasure_endpoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditPareto.cdf_paretoMeasure' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditPareto.cdf_paretoMeasure_endpoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditPareto.momentLintegral_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditPareto.momentLintegral_of_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditPareto.momentLintegral_eq_top' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditPareto.ae_nonneg_rpow_paretoMeasure' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditPareto.integrable_rpow_paretoMeasure_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditPareto.integral_rpow_paretoMeasure' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditPareto.integral_rpow_zero_paretoMeasure' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditPareto.integral_abs_rpow_paretoMeasure' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditPareto.hasFiniteTailExponent_survival_paretoMeasure' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditPareto.hasFiniteTailExponent_weightedSum_pareto' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditProbability.IsSubexponential.finiteTailExponent' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditProbability.convolutionPower_probability' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditProbability.charFun_convolutionPower' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditProbability.stableS1_convolutionPower_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditProbability.law_independent_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditRV.isSlowlyVarying_log' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditRV.isSlowlyVarying_const' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditRV.isSlowlyVarying_neg_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditRV.IsSlowlyVarying.of_tendsto_const' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditRV.IsRegularlyVarying.mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditRV.IsRegularlyVarying.rpow' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditRV.isRegularlyVarying_iff_slowlyVarying' depends on axioms: [propext, Classical.choice, Quot.sound]
'StableAudit.gaussian_specialization' depends on axioms: [propext, Classical.choice, Quot.sound]
'StableAudit.gaussian_specialization_general' depends on axioms: [propext, Classical.choice, Quot.sound]
'StableAudit.submitted_gaussian_counterexample' depends on axioms: [propext, Classical.choice, Quot.sound]
'StableAudit.gaussian_stable_real' depends on axioms: [propext, Classical.choice, Quot.sound]
'StableAudit.gaussian_stable_real_short' depends on axioms: [propext, Classical.choice, Quot.sound]
'StableAudit.cauchy_specialization' depends on axioms: [propext, Classical.choice, Quot.sound]
'StableAudit.submitted_cauchy_counterexample' depends on axioms: [propext, Classical.choice, Quot.sound]
'StableAudit.cauchy_stable' depends on axioms: [propext, Classical.choice, Quot.sound]
'StableAudit.cauchy_stable_short' depends on axioms: [propext, Classical.choice, Quot.sound]
'StableAudit.stableExpr_power' depends on axioms: [propext, Classical.choice, Quot.sound]
'StableAudit.submitted_alpha_one_ignores_skew' depends on axioms: [propext, Classical.choice, Quot.sound]
'StableAudit.stableS1Expr_power' depends on axioms: [propext, Classical.choice, Quot.sound]
'StableAudit.stableS1Expr_gaussian' depends on axioms: [propext, Classical.choice, Quot.sound]
'StableAudit.stableS1Expr_cauchy' depends on axioms: [propext, Classical.choice, Quot.sound]
'StableAudit.stableS1Expr_at_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.pareto_log_ratio_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.pareto_hasFiniteTailExponent' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.tailExponentReal_pareto' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.tailExponentReal_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.real_liminf_of_tendsto_atTop' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.tail_log_ratio_of_ratio_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.subexponential_ratio_tailExponent' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.convexOn_rpow_neg_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.frechetFormula_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.frechet_formula_maxstable' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.frechet_cdf_maxstable' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.gumbel_maxstable' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.neg_log_div_log_antitone' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.HasFiniteTailExponent.comp_const_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.log_add_le_log_two_add_max' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.log_max_of_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.HasFiniteTailExponent.max' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.HasFiniteTailExponent.add' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.HasFiniteTailExponent.of_le_of_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditProbability.survivalRV_eq_survival_map' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditProbability.weightedSum_event_lower_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditProbability.weightedSum_event_lower_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditProbability.weightedSum_event_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditProbability.hasFiniteTailExponent_weightedSum' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditProbability.hasFiniteTailExponent_survival_map_weightedSum' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Taleb.Proof01.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof02.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof03.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof04.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof05.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof06.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof07.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof08.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof09.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof10.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof11.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof12.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof13.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof14.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof15.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof16.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
